"scenario","comparison","metric","difference","ci95_low","ci95_high","training_seed_count","test_seed_count"
"CONTROL","PPO_MINUS_TIME_GREEDY_RULE","success_rate",0.0001499999999999978,-0.0022003125000000096,0.0025999999999999977,10,100
"CONTROL","PPO_MINUS_TIME_GREEDY_RULE","reward",95.32115518097704,77.12420341588385,113.7825650191408,10,100
"CONTROL","PPO_MINUS_TIME_GREEDY_RULE","successful_throughput_tasks_per_hour",0.02086120383494982,-0.13620972329900072,0.16785212380285086,10,100
"CONTROL","PPO_MINUS_TIME_GREEDY_RULE","mean_waiting_time",-32.420994868507634,-37.90827336585528,-26.88228481210835,10,100
"CONTROL","PPO_MINUS_TIME_GREEDY_RULE","p95_waiting_time",-134.4081798361251,-161.23553695300495,-109.31503954056573,10,100
"CONTROL","PPO_MINUS_TIME_GREEDY_RULE","mean_flow_time",-31.399405189288057,-37.68300073061407,-25.20660129564585,10,100
"CONTROL","PPO_MINUS_TIME_GREEDY_RULE","p95_flow_time",-117.73636628462583,-142.70030931526514,-93.54668827172893,10,100
"CONTROL","PPO_MINUS_TIME_GREEDY_RULE","distance_per_task",-0.4203405453999644,-2.5608032165200076,1.725276459333136,10,100
"CONTROL","PPO_MINUS_SINGLE_DOG_ONLY","success_rate",0.001399999999999999,-0.008137500000000008,0.011875312499999997,10,100
"CONTROL","PPO_MINUS_SINGLE_DOG_ONLY","reward",581.9803041104207,525.7350105566398,639.582996180048,10,100
"CONTROL","PPO_MINUS_SINGLE_DOG_ONLY","successful_throughput_tasks_per_hour",0.6870009512912196,-0.09864199135053105,1.5620686834532267,10,100
"CONTROL","PPO_MINUS_SINGLE_DOG_ONLY","mean_waiting_time",-190.57388724747602,-211.32444070389664,-170.46959792893566,10,100
"CONTROL","PPO_MINUS_SINGLE_DOG_ONLY","p95_waiting_time",-695.7772801222989,-785.6518635304294,-609.4892553409933,10,100
"CONTROL","PPO_MINUS_SINGLE_DOG_ONLY","mean_flow_time",-204.053769190324,-224.6507278542284,-183.9763517626182,10,100
"CONTROL","PPO_MINUS_SINGLE_DOG_ONLY","p95_flow_time",-677.0951610280873,-766.4653569692483,-591.2434166275874,10,100
"CONTROL","PPO_MINUS_SINGLE_DOG_ONLY","distance_per_task",25.83843816152426,23.705264607165336,28.008825245269534,10,100
"NAVIGATION_FAILURE","PPO_MINUS_TIME_GREEDY_RULE","success_rate",0.0010875,-0.0029000000000000007,0.004949999999999998,10,100
"NAVIGATION_FAILURE","PPO_MINUS_TIME_GREEDY_RULE","reward",101.0206260295664,81.9145949848652,119.71620440422198,10,100
"NAVIGATION_FAILURE","PPO_MINUS_TIME_GREEDY_RULE","successful_throughput_tasks_per_hour",0.08227022224796178,-0.1886804512474456,0.3380442699958253,10,100
"NAVIGATION_FAILURE","PPO_MINUS_TIME_GREEDY_RULE","mean_waiting_time",-34.429833575275005,-40.521836288811826,-28.44578702922686,10,100
"NAVIGATION_FAILURE","PPO_MINUS_TIME_GREEDY_RULE","p95_waiting_time",-138.5100197144351,-165.4817063303789,-112.16656873118708,10,100
"NAVIGATION_FAILURE","PPO_MINUS_TIME_GREEDY_RULE","mean_flow_time",-33.38206862990075,-39.90275520378569,-26.991276791901978,10,100
"NAVIGATION_FAILURE","PPO_MINUS_TIME_GREEDY_RULE","p95_flow_time",-119.67143901641367,-146.6140938392515,-94.03277839183995,10,100
"NAVIGATION_FAILURE","PPO_MINUS_TIME_GREEDY_RULE","distance_per_task",-0.48560953878588137,-2.4707007107189876,1.5721729225358576,10,100
"NAVIGATION_FAILURE","PPO_MINUS_TIME_GREEDY_RULE","recovery_time_s",1.8344639114267371,-1.027352354444999,4.719703634735005,10,100
"NAVIGATION_FAILURE","PPO_MINUS_SINGLE_DOG_ONLY","success_rate",-0.004162500000000002,-0.0157,0.007888437499999984,10,100
"NAVIGATION_FAILURE","PPO_MINUS_SINGLE_DOG_ONLY","reward",592.5960708937969,537.5609878155882,651.5208391391083,10,100
"NAVIGATION_FAILURE","PPO_MINUS_SINGLE_DOG_ONLY","successful_throughput_tasks_per_hour",0.2169760718847753,-0.7104332422003875,1.16702370486722,10,100
"NAVIGATION_FAILURE","PPO_MINUS_SINGLE_DOG_ONLY","mean_waiting_time",-196.63575015744684,-218.28951189273096,-176.324061853253,10,100
"NAVIGATION_FAILURE","PPO_MINUS_SINGLE_DOG_ONLY","p95_waiting_time",-732.4735893524787,-828.5659629297222,-642.5398705297674,10,100
"NAVIGATION_FAILURE","PPO_MINUS_SINGLE_DOG_ONLY","mean_flow_time",-209.88836324020048,-231.43191045469183,-189.06557128169456,10,100
