"scenario_id","team_size","stair_count","waiting_task_count","visible_task_count","candidate_count","legal_candidate_count","candidate_generation_p99_ms","legality_mask_p99_ms","encoder_total_p99_ms","policy_forward_p99_ms","end_to_end_p50_ms","end_to_end_p95_ms","end_to_end_p99_ms"
"R4_S1_Q1",4,1,1,1,2,2,0.00429101,0.009668659999999999,0.04488249999999999,1.16878708,1.0762915,1.1909954999999999,1.25580575
"R4_S1_Q2",4,1,2,2,4,4,0.010213839999999995,0.008542,0.06830249999999996,1.15467574,1.091979,1.2149062499999999,1.26237583
"R4_S1_Q4",4,1,4,4,8,8,0.02091741,0.01691825,0.11336523999999998,1.1642644999999998,1.1215835,1.22347355,1.28421258
"R4_S1_Q8",4,1,8,8,16,16,0.041169080000000004,0.03243241999999999,0.15674398999999994,1.1635924999999998,1.1741875,1.28022885,1.33352875
"R4_S1_Q16",4,1,16,8,16,16,0.04017475999999999,0.03437541,0.17282475999999997,1.1474590799999997,1.177063,1.2829285,1.3182029199999998
"R4_S1_Q32",4,1,32,8,16,16,0.04262583,0.032846329999999986,0.1693465,1.15679458,1.1714790000000002,1.2847797999999997,1.34179291
"R4_S2_Q1",4,2,1,1,4,4,0.00904267,0.008333,0.06851167,1.1528829200000001,1.0872294999999998,1.2117753,1.28313583
"R4_S2_Q2",4,2,2,2,8,8,0.02125999999999999,0.01679241,0.09924856999999997,1.16204084,1.1170415,1.21145,1.26671366
"R4_S2_Q4",4,2,4,4,16,16,0.03559356999999999,0.03325375,0.15918391999999998,1.17528884,1.161042,1.27502915,1.36013
"R4_S2_Q8",4,2,8,8,32,32,0.06904143,0.06192449999999999,0.2844235,1.14577667,1.2716045,1.4063922999999998,1.46733116
"R4_S2_Q16",4,2,16,8,32,32,0.06839666999999998,0.06488208,0.28709217,1.16754417,1.2725,1.3934875,1.4673854100000001
"R4_S2_Q32",4,2,32,8,32,32,0.06937667,0.06375916999999999,0.29227857999999995,1.1852587499999998,1.2755,1.38241075,1.47522274
"R4_S4_Q1",4,4,1,1,8,8,0.0197525,0.012208839999999999,0.09579684,1.17834717,1.1162085,1.2311038499999998,1.2786558399999999
"R4_S4_Q2",4,4,2,2,16,16,0.03308342,0.03475416,0.16379975,1.16219875,1.1630835,1.2674622,1.3495875
"R4_S4_Q4",4,4,4,4,32,32,0.06313084,0.06067532999999999,0.27392808999999996,1.18827925,1.2514159999999999,1.3622291499999999,1.4158086699999999
"R4_S4_Q8",4,4,8,8,64,64,0.11783967,0.12554601,0.49150333,1.15501959,1.451479,1.5623958500000001,1.62917658
"R4_S4_Q16",4,4,16,8,64,64,0.11762792,0.12396507999999999,0.4995041699999999,1.15166,1.4533955,1.5580854499999999,1.62567834
"R4_S4_Q32",4,4,32,8,64,64,0.12364124999999998,0.13113916999999997,0.5065140799999999,1.1696493399999999,1.4657499999999999,1.60797115,1.6621519999999999
"R7_S1_Q1",7,1,1,1,5,5,0.01745967,0.010917419999999999,0.07898065999999998,1.16267017,1.0986669999999998,1.1983833499999998,1.25319434
"R7_S1_Q2",7,1,2,2,15,15,0.03358425,0.03320842,0.15900291,1.16553416,1.1646665,1.26117705,1.3277525
"R7_S1_Q4",7,1,4,4,30,30,0.06554616,0.058510419999999994,0.26291208,1.166335,1.238375,1.35788955,1.4121736599999999
"R7_S1_Q8",7,1,8,8,65,65,0.134292,0.12979624999999997,0.5097229199999999,1.145218,1.4734585,1.5814972999999999,1.63934033
"R7_S1_Q16",7,1,16,8,65,65,0.12855033,0.13074132999999996,0.51801792,1.13753667,1.471125,1.5881214499999998,1.6516591699999998
"R7_S1_Q32",7,1,32,8,65,65,0.13079457999999997,0.13629575,0.53941125,1.14706708,1.4841669999999998,1.5960752999999999,1.66509643
"R7_S2_Q1",7,2,1,1,10,10,0.021418659999999996,0.022876249999999997,0.117916,1.16069491,1.1306660000000002,1.2665535499999998,1.40276125
"R7_S2_Q2",7,2,2,2,30,30,0.05687916,0.06487833,0.25447274,1.15383301,1.242604,1.3497419999999998,1.42299175
"R7_S2_Q4",7,2,4,4,60,60,0.11267074,0.11538458,0.46704142,1.16777649,1.431667,1.5684954999999998,1.6203675
"R7_S2_Q8",7,2,8,8,130,130,0.23713208,0.26446175,0.9524733399999998,1.15967717,1.878854,1.99854825,2.05600551
"R7_S2_Q16",7,2,16,8,130,130,0.23493949999999997,0.260515,0.94462833,1.17991833,1.865375,2.00755,2.0549424099999998
"R7_S2_Q32",7,2,32,8,130,130,0.23648259,0.25880475999999997,0.94456875,1.19597158,1.8697085,2.0085423000000002,2.0769269099999996
"R7_S4_Q1",7,4,1,1,20,20,0.03875084,0.04258483,0.18132241,1.15384842,1.1891254999999998,1.2991931499999998,1.3648441599999999
"R7_S4_Q2",7,4,2,2,60,60,0.11126290999999999,0.12075416,0.45994600999999996,1.155007,1.425542,1.5587166499999998,1.60935399
"R7_S4_Q4",7,4,4,4,120,120,0.21025207999999998,0.24608699999999997,0.8737405,1.1463445799999998,1.792375,1.91294345,1.94384983
"R7_S4_Q8",7,4,8,8,260,260,0.441395,0.49306033,1.7252929099999998,1.15953625,2.646292,2.81180145,2.86846566
"R7_S4_Q16",7,4,16,8,260,260,0.45803917,0.50700209,1.73938792,1.1498823299999996,2.6360625,2.7809430999999996,2.8781821699999997
"R7_S4_Q32",7,4,32,8,260,260,0.44210717,0.49310924999999994,1.72213408,1.1508245899999998,2.6534375,2.81721075,3.0310216599999995
"R10_S1_Q1",10,1,1,1,18,18,0.036752089999999994,0.03846341999999999,0.16346175,1.15492833,1.172354,1.28332915,1.34864875
"R10_S1_Q2",10,1,2,2,36,36,0.07021190999999999,0.07273425999999997,0.29415625,1.1508347499999998,1.2840205,1.39302915,1.467264
"R10_S1_Q4",10,1,4,4,72,72,0.13229391999999998,0.1451325,0.5525516699999999,1.1499519900000001,1.508375,1.6268784999999997,1.7013041599999998
"R10_S1_Q8",10,1,8,8,144,144,0.28383426,0.28042041999999995,1.04017101,1.12650316,1.9573755,2.1204214500000003,2.2130080899999998
"R10_S1_Q16",10,1,16,8,144,144,0.27208676000000004,0.28697175999999996,1.05596726,1.15324342,1.9491875,2.0807753,2.14018476
"R10_S1_Q32",10,1,32,8,144,144,0.27683633,0.28783116999999997,1.05422575,1.35925149,1.9542705,2.0846711499999997,2.14828551
"R10_S2_Q1",10,2,1,1,36,36,0.06550125,0.07587666,0.29200042,1.1701062499999997,1.2873545000000002,1.4011434499999997,1.4711510099999996
"R10_S2_Q2",10,2,2,2,72,72,0.13393158,0.14546566,0.54005616,1.16356976,1.5057505,1.63371845,1.71172324
"R10_S2_Q4",10,2,4,4,144,144,0.25475815999999996,0.28488458,1.03155616,1.17322551,1.91275,2.0603957999999998,2.09598717
"R10_S2_Q8",10,2,8,8,288,288,0.5154932499999999,0.55791908,2.0359654199999997,1.3028255099999995,2.8047079999999998,2.96656905,3.0922908299999996
"R10_S2_Q16",10,2,16,8,288,288,0.5157005899999999,0.56873592,1.91863333,1.14433525,2.8144169999999997,2.97662915,3.0355505899999997
"R10_S2_Q32",10,2,32,8,288,288,0.51081616,0.56212525,2.0179139299999997,1.1882445799999999,2.8061245,2.96004615,3.06500375
"R10_S4_Q1",10,4,1,1,72,72,0.12837917,0.14392240999999997,0.5397804199999999,1.1493417499999998,1.484333,1.642067,1.7454995799999993
"R10_S4_Q2",10,4,2,2,144,144,0.25243308999999997,0.2808499099999999,0.99128259,1.1769638299999998,1.9267919999999998,2.0550048000000003,2.1058594100000003
"R10_S4_Q4",10,4,4,4,288,288,0.48744075,0.5538078299999999,1.8812841699999998,1.14602509,2.779771,2.9496681000000002,3.01891867
"R10_S4_Q8",10,4,8,8,576,576,0.927463,1.05471108,3.67870075,1.1552629200000002,4.520292,4.7150836499999995,4.78105875
"R10_S4_Q16",10,4,16,8,576,576,0.98028458,1.07674908,3.6674344999999997,1.14322259,4.555125,4.7412142500000005,4.8145412499999996
