method,training_profile,training_seed,phase,phase_fraction,mean_queue_length,mean_active_tasks,test_episode_count,source_scope
PPO,MEDIUM,1,NORMAL,0.0,0.0,1.0,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.025,0.0,0.27,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.05,0.0,0.37,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.07500000000000001,0.0,0.31,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.1,0.0,0.32,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.125,0.0,0.51,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.15000000000000002,0.0,0.27,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.17500000000000002,0.0,0.45,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.2,0.0,0.24,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.225,0.0,0.55,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.25,0.0,0.19,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.275,0.0,0.53,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.30000000000000004,0.0,0.27,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.325,0.0,0.56,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.35000000000000003,0.0,0.29,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.375,0.0,0.62,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.4,0.0,0.37,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.42500000000000004,0.0,0.57,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.45,0.0,0.29,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.47500000000000003,0.0,0.67,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.5,0.0,0.43,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.525,0.0,0.67,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.55,0.0,0.53,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.5750000000000001,0.01,0.59,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.6000000000000001,0.0,0.5,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.625,0.0,0.56,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.65,0.0,0.39,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.675,0.0,0.34,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.7000000000000001,0.0,0.42,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.7250000000000001,0.01,0.32,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.75,0.0,0.51,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.775,0.0,0.36,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.8,0.0,0.54,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.8250000000000001,0.0,0.25,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.8500000000000001,0.0,0.5,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.875,0.0,0.26,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.9,0.0,0.53,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.925,0.0,0.32,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.9500000000000001,0.0,0.61,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,0.9750000000000001,0.0,0.35,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,NORMAL,1.0,0.31,1.31,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,DENSE,0.0,0.31,1.31,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
PPO,MEDIUM,1,DENSE,0.025,0.29,0.99,100,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json
