method,training_profile,training_seed,test_seed,task_stream_fingerprint,source_json,task_count,queue_auc_total_task_s,peak_queue_episode,peak_active_episode,queue_recovery_time_s,outstanding_recovery_time_s,normal_queue_auc_task_s,normal_peak_queue,normal_peak_active,normal_duration_s,dense_queue_auc_task_s,dense_peak_queue,dense_peak_active,dense_duration_s,burst_queue_auc_task_s,burst_peak_queue,burst_peak_active,burst_duration_s,recovery_queue_auc_task_s,recovery_peak_queue,recovery_peak_active,recovery_duration_s
PPO,MEDIUM,1,56000000,fc9ab9d8937299010090cd6f991a8338e724453aba100c299c38f12f3fb29cf6,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,10709.608209773323,22,3,780.8756005189998,871.0581031832608,0.0,0,2,1755.3061341108462,1034.5779864627405,6,3,394.5699804599401,2357.044490473726,22,3,128.0272588633402,7317.985732836857,21,3,1729.2825415447232
PPO,MEDIUM,1,56000001,15670d4ef40dd4a64c46cc4f078b220fe9b5cb49906ad8a04cc10121137f761d,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,10786.349185380966,22,3,614.6309906212196,632.0109080390539,0.0,0,2,1719.9710624224285,801.9001532326686,6,3,354.7823907524257,2278.2824133713175,22,3,127.78717802388246,7706.166618776981,20,3,1710.2523886473396
PPO,MEDIUM,1,56000002,b1a9e4955278bb47f5ecee3194d23f47b4af58290bdcc8e7f38df13a27adb187,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,14258.957175105455,23,4,597.1879945333094,678.7844161253311,0.5311402019065952,1,1,1759.105110553698,1184.469778925923,6,3,397.70456833552134,2551.6987980250096,23,3,127.74493648027328,10522.257457952615,23,4,1769.812509244383
PPO,MEDIUM,1,56000003,d284c08e5442e6dc3d92d12e788d3ee6bfb5cc1c333afa778f9875e88457485f,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,10391.661260676397,22,4,546.5400155721568,630.2992698750359,0.0,0,1,1746.1216913949695,1131.827890370454,6,2,387.1021477672241,2299.402198633711,22,3,127.97519308373103,6960.431171672232,21,4,1734.9835133979127
PPO,MEDIUM,1,56000004,43f4fb5cdb9b6d8523ac32f22105f510c96302bad6dd11e915499dbeed5b3629,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,9755.569526655605,22,3,582.2574139951489,602.1898180002545,0.0,0,2,1665.2591602560096,907.7581940782527,5,3,369.9897646248155,2268.2012008437364,22,3,125.61074996541356,6579.610131733616,20,3,1780.0878040061107
PPO,MEDIUM,1,56000005,d49ab3d7a28131b2ebe3af57f64a2a31d443e2df79c85c2aacc76deb6f94f2dd,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,10714.19935200336,18,4,761.6179834661839,848.8468444802056,0.0,0,1,1720.9002191906343,1209.2207241152275,7,3,370.32661994325645,1996.5158125028565,18,3,131.41940994788274,7508.4628153852755,18,4,1736.3254653378735
PPO,MEDIUM,1,56000006,d3182ede31bafbd9227f086c2de27d748a0190e1eb40af6f6421184c901cc1ab,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,13151.79139473051,23,4,750.7443622411474,843.2596821332295,4.460809654829404,1,1,1730.1321125418701,1303.3925380056432,8,3,384.3369918976384,2550.3652421421193,23,4,128.0810229988715,9293.572804927917,22,3,1707.4299688445576
PPO,MEDIUM,1,56000007,ce100faef1f8c98f8434ae32d7b318e5a3e530ab72650f029ce1784c12c215ca,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,12624.867523848137,22,3,972.4037426974446,992.3361467025502,0.0,1,1,1705.778403038418,1235.62228780239,5,3,385.71967670653,2508.4811374287383,22,3,130.38035068241516,8880.764098617008,21,3,1757.5327634256064
PPO,MEDIUM,1,56000008,61f2a71d6988c09a630aec79ce1fea629b62a20d0a8c5a9098ae344cf69bf0a3,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,10411.571273764408,22,3,720.5579181741846,737.9378355920189,0.0,0,1,1709.9552639760652,846.4712921360572,4,3,390.21672867630673,2326.346239108362,22,3,130.06982712755052,7238.753742519988,20,3,1679.394149763477
PPO,MEDIUM,1,56000009,cb15f10e436889ba6747bef32762877f9420ddedb6ef28d78072a4e26a7ae4cb,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,10539.772622407136,20,3,690.503981039365,784.5536409323104,2.1568576166143885,1,1,1722.369583182187,804.961780521749,6,3,381.48738751045767,2044.8058463474144,20,3,123.6504511415701,7687.848137921357,19,3,1770.5624271534762
PPO,MEDIUM,1,56000010,34376094f1cbbedde1010acf0512b8c8e9012d31387604af14b90616249fd843,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,13505.712233046144,23,3,760.1898684995576,854.7579819120142,0.0,1,1,1751.8372135070056,1532.8123837804708,7,3,379.05403667883024,2449.242085980716,23,2,127.43404859534303,9523.657763284957,21,3,1674.8886247842788
PPO,MEDIUM,1,56000011,b6b4940e835ad35374a2309a4a551f7fc06dcc854726e8aa3b089fe1ce6594c3,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,20533.31897223863,26,4,882.1140859092793,966.0433247291226,0.0,0,2,1700.3694985129537,1548.7919475388553,10,3,366.96465880603773,2857.4799386046357,26,3,124.0077415726214,16127.04708609514,25,4,1790.7203031582048
PPO,MEDIUM,1,56000012,7db735d0f4d45769c0d75379ae0e7b731eeb4a43bbfee10a645bc6666b251f42,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,11255.531038606214,24,3,522.6434669807013,608.2705914841249,3.6109233618030885,1,1,1704.2851916800557,948.2352932339813,7,3,382.73564988600606,2664.4714547387434,24,2,127.9319261311598,7639.213367271686,23,3,1815.1981832378651
PPO,MEDIUM,1,56000013,70b5b7bb54d244c31da9b3009abe189529582e4c168211227f0107f1ec9989f6,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,12620.591460119056,25,4,804.9977619396427,824.9301659447483,0.0,0,1,1720.597970684797,906.1435921177315,6,2,384.9337820530909,2621.5978169495916,25,2,123.42826488645869,9092.850051051733,24,4,1766.7935882770007
PPO,MEDIUM,1,56000014,c7a7f326dc1a0202a62b7d2035a22d580d5a8929c6203c21e0a461f4a6baefc0,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,13184.616415240547,24,3,858.452601695571,878.3850057006766,0.0,1,2,1761.2041407554595,1127.9588748735653,6,3,388.77407614583194,2694.3454025649803,24,2,135.75118676939928,9362.312137802002,22,3,1706.975723473813
PPO,MEDIUM,1,56000015,221b884a507cf2bf1ee748c6e05560be40249f9d002f0744bc3dcb0e6f024447,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,9762.545410453424,22,3,575.3856381578403,656.982059749862,0.0,0,2,1782.2255247240746,966.2622485459794,6,3,384.67491123111586,2289.972597287225,22,3,127.24940027191042,6506.310564620218,20,3,1740.9978779782164
PPO,MEDIUM,1,56000016,bee10adc3c35de506cde6d0483e08d8a4ce34c36f287951fa3a33ffaaa7df211,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,9850.62563991899,22,4,709.3472416736281,722.5180737056912,0.0,1,1,1768.9850278185536,920.2518349380186,5,3,364.35470017029365,2385.7387475989153,22,4,128.33042873299246,6544.635057382056,21,4,1753.3477206427865
PPO,MEDIUM,1,56000017,139d17980a355d2bd04fffa6ad47ae058219eb91b193e0f6078a08d4e9b935b1,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,12194.471357055825,23,4,626.2330092038792,646.1654132089848,0.0,0,2,1713.8773971545897,1210.6413189510972,6,2,381.06683065688003,2576.1162087273674,23,2,125.28238662097965,8407.71382937736,22,4,1754.2577998123925
PPO,MEDIUM,1,56000018,6f7c4c2495dd1890ed243d894de14439c12db61a955c21b9933097dcb741887e,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,12755.31744071357,25,4,673.0913264600244,693.02373046513,0.0,0,2,1743.0991820931022,1375.6371487452543,7,3,388.080284356613,2716.462433999477,25,2,130.1593737221765,8663.217857968839,23,4,1712.5320972469194
PPO,MEDIUM,1,56000019,b0de163e7e3fd52ce03b86a5f9259c99df6b1f44301de0e00303edf25f686302,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,11349.784750610603,26,4,472.57696215593705,557.1270253981979,4.879964669009496,1,1,1701.7249859700855,1137.6580036171574,7,2,398.6132609600468,2685.142189381454,26,2,122.65889498246179,7522.104592942982,25,4,1833.6104068906243
PPO,MEDIUM,1,56000020,c3fed368fd6328ed3d4895e180f792044c27a679165fda04816e042f23f63911,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,10451.751161666903,25,3,480.35719910987655,562.2619843186862,0.0,0,1,1738.2048661869308,1010.1741345479468,8,3,362.2435035052804,2762.849629387222,25,2,128.24144091204062,6678.7273977317345,24,3,1699.941611702544
PPO,MEDIUM,1,56000021,4996ea994d7ac4ad759a4ff637a3a720ed933ee3eab8133dc60e121aef38ac30,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,11169.37422679419,22,4,742.6071917985469,755.77802383061,2.638875196695608,1,1,1769.0359672782365,763.9757244755506,5,2,394.21631888016054,2355.789432225752,22,3,124.01097375715881,8046.970194896192,21,4,1666.8213830174518
PPO,MEDIUM,1,56000022,18fd2d8cf5b51cf61c5cd3924d5edf0523b96466d26b4b7e47c3a49ccfca8b9b,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,14077.40592982504,25,3,796.1265835044683,876.8489628498055,0.0,0,2,1724.5809169239997,1310.3534022919698,6,3,367.5007942270099,2691.172956091282,25,2,128.5509741835449,10075.879571441788,24,3,1700.044626465326
PPO,MEDIUM,1,56000023,8fb38363d5fb085534e4dc5f391f4f7d11d69e4c8674de99a06d899e5fb439d7,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,13668.563190697172,26,3,666.5087313144272,751.0587945566881,3.5437217627700193,1,1,1687.555697702994,1128.9321090022877,7,2,378.47529339361313,2752.7661084793262,26,2,125.09725265294537,9783.321251452788,25,3,1790.496145482843
PPO,MEDIUM,1,56000024,29fc300b9f112173dd55393a6d1c9667fed9b769ee2caf511ddb0a9f718a69ac,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,11978.786166068956,23,4,721.1220592472059,798.64123370782,0.24145859025929894,1,1,1725.9297533620113,714.8604855397523,6,2,383.18673742772603,2525.1228267619786,23,3,129.8390603834564,8738.561395176966,21,4,1672.2863526302322
PPO,MEDIUM,1,56000025,844c68777d73ce9a5c76e95f17543f64b08ec74fb59ecb147654ecc709cbbaa9,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,11642.318273539997,21,4,620.7535414010272,687.6152297416143,1.9410372801123685,1,1,1768.1785187649596,1210.6758193233345,6,3,369.6141616023076,2299.448347074147,21,4,127.08641684987424,8130.253069862403,20,3,1712.9603534737362
PPO,MEDIUM,1,56000026,d1da55f4af742310525b861127fbb2566f15e34a9e2e28a0c34877a8cc74eedf,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,11453.112388425261,24,4,551.2763106670386,628.7954851276527,7.127918307777691,1,2,1727.3250133684992,710.8373328179543,6,2,365.3907758203104,2540.875796685939,24,2,128.79331298174884,8194.27134061359,21,4,1774.037447905625
PPO,MEDIUM,1,56000027,76be781947312f194e399664998d23dc73a1c35b0d8d08d2e15fd277b6b4257d,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,14651.764527121535,25,4,619.9703268146413,639.9027308197469,0.0,1,1,1700.1197910588148,1596.1996301030965,8,3,382.69558109192167,2706.0464565154316,25,2,126.87339095957486,10349.518440503007,24,4,1763.1085609930924
PPO,MEDIUM,1,56000028,cc298e919c43c1b92ddd42045910ca5d02511562f0eccf7aebfe82ea979bfb93,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,12536.341080538969,23,3,726.9788622166925,746.9112662217981,0.0,0,2,1741.5930093207605,890.5322003727358,5,3,379.820584399906,2569.063490724941,23,2,131.07991394897454,9076.745389441292,22,3,1816.2806710880432
PPO,MEDIUM,1,56000029,97005a0156d2f1f306017d2cf70d6f4f950bc23b12337d5279964fe4d3fd0891,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,12201.757605316874,24,4,633.2189832805598,650.5989006983941,0.0,1,1,1705.5777643227357,1348.7114017917115,7,4,369.4180706985462,2542.908538253704,24,3,128.34802916436638,8310.137665271459,22,4,1713.7195817803267
PPO,MEDIUM,1,56000030,ba36c52351febe0fbb0a45bae42de414b14e63a5099c14ff50059a59c36fb279,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,9720.092744226906,21,4,665.9308777711553,747.4807551431713,0.0,0,2,1706.3987094800686,1072.2607758963734,5,3,385.3994047197193,2248.9367331058993,21,4,125.80262261460666,6398.895235224632,19,3,1816.0364226657885
PPO,MEDIUM,1,56000031,8b5ff4abb17f89ace4e43e40703562ff07d0c80d2d5064fe442cc07ef9776cba,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,13168.548651998224,24,3,677.851999245243,759.4484208372646,0.0,0,1,1706.063699896238,811.2869776658665,5,3,376.6742717411223,2497.4501766319377,24,2,126.26309422476652,9859.81149770042,22,3,1742.122882696724
PPO,MEDIUM,1,56000032,13ea8e522a395edfcc96e23349b8ff89aabeddee23f5eb458603f10644d4bc81,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,12451.796958664014,23,3,821.7235133279637,839.103430745798,0.0,0,1,1724.9755031487891,972.0322306211306,5,3,368.35615976374197,2574.3028808283593,23,2,131.6939656566651,8905.461847214525,22,3,1749.6024205507356
PPO,MEDIUM,1,56000033,d57642c422596ac2eb27cf55670c176df86101f6cffaeed5fb70385397aba035,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,16582.91601942754,25,4,1034.5819893337398,1054.5143933388454,0.22265109399563698,1,1,1708.8044071955067,1219.2211185500244,8,3,363.36983198086614,2731.8168050309355,25,2,125.14140068426104,12631.655444752583,24,4,1780.5507601362629
PPO,MEDIUM,1,56000034,9775e64fcdc7b41f76be2d3459b853ff85d4356c194473dd6bef8f444455b36f,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,18186.735026150247,28,4,946.0882863590559,1037.7027581212733,0.0,0,2,1720.9113631197365,1345.9294426545039,9,2,380.6493661043387,3049.172881980023,28,2,126.54926623764322,13791.63270151572,26,4,1801.1233776556646
PPO,MEDIUM,1,56000035,66bdeeafd9f15550fd80a3fc93e3b6f9ff574a1388dc7253cb0f51aeb979e4e5,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,11114.331491323555,22,4,622.819639713477,642.7520437185826,0.0,0,2,1709.9964969480147,740.5896101753974,6,4,381.4585898722239,2282.0240179947896,22,2,126.28560155041032,8091.717863153369,21,4,1759.7062363159566
PPO,MEDIUM,1,56000036,5e1d09ccb8896ad619a6a8f1cafa05f56082122ff43f9d209d5856246a0dc10e,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,14914.573150689634,27,3,620.484099220299,706.4322107733183,0.0,1,1,1769.7023259327832,1573.6261538050462,8,2,391.7528427282639,2885.8906947363457,27,2,128.1051650933773,10455.056302148241,25,3,1773.6386934504094
PPO,MEDIUM,1,56000037,a6a898ac9826dbc638a5ddbd6ca28eb17c8b01e981b442b2697292ec769d180e,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,11744.397438029268,22,4,688.0570702246496,707.9894742297552,9.355429339952025,1,2,1713.1046594019294,1181.1234442096654,5,3,395.46120542913604,2367.2097424459853,22,3,127.9025207081263,8186.7088220336655,21,4,1791.9433950560401
