profile,training_seed,late_minus_early_wait_s,aggregate_ci95_low_s,aggregate_ci95_high_s
MEDIUM,1,-165.89211850423013,-201.8874674455304,-147.45300317523885
MEDIUM,2,-114.01080456940508,-201.8874674455304,-147.45300317523885
MEDIUM,3,-195.45512945457645,-201.8874674455304,-147.45300317523885
MEDIUM,4,-221.51153290543644,-201.8874674455304,-147.45300317523885
MEDIUM,5,-210.74775310000953,-201.8874674455304,-147.45300317523885
MEDIUM,6,-187.65991998389515,-201.8874674455304,-147.45300317523885
MEDIUM,7,-134.58814368289555,-201.8874674455304,-147.45300317523885
MEDIUM,8,-105.13233230239298,-201.8874674455304,-147.45300317523885
MEDIUM,9,-185.5134950345895,-201.8874674455304,-147.45300317523885
MEDIUM,10,-228.50644682391027,-201.8874674455304,-147.45300317523885
DENSE,1,-90.42183109645696,-101.3544221240642,-86.92823107909985
DENSE,2,-91.51983950016697,-101.3544221240642,-86.92823107909985
DENSE,3,-82.54395919139797,-101.3544221240642,-86.92823107909985
DENSE,4,-102.11105165951305,-101.3544221240642,-86.92823107909985
DENSE,5,-100.99161522015976,-101.3544221240642,-86.92823107909985
DENSE,6,-99.07277848922644,-101.3544221240642,-86.92823107909985
DENSE,7,-88.5458156926578,-101.3544221240642,-86.92823107909985
DENSE,8,-108.83893333297135,-101.3544221240642,-86.92823107909985
DENSE,9,-84.38165624911615,-101.3544221240642,-86.92823107909985
DENSE,10,-89.95042981567006,-101.3544221240642,-86.92823107909985
BURST,1,-124.51941672816339,-114.24111183842567,-94.02499612497766
BURST,2,-99.24865656252017,-114.24111183842567,-94.02499612497766
BURST,3,-113.27108440270726,-114.24111183842567,-94.02499612497766
BURST,4,-85.27486647517517,-114.24111183842567,-94.02499612497766
BURST,5,-80.98322991791319,-114.24111183842567,-94.02499612497766
BURST,6,-95.04955659577244,-114.24111183842567,-94.02499612497766
BURST,7,-113.44304162075424,-114.24111183842567,-94.02499612497766
BURST,8,-111.59528115800356,-114.24111183842567,-94.02499612497766
BURST,9,-111.30455544168203,-114.24111183842567,-94.02499612497766
BURST,10,-105.98980648121085,-114.24111183842567,-94.02499612497766
TIME_GREEDY_RULE,,-179.9823035676674,,
