method,training_profile,training_seed,success_rate_percent,p95_waiting_time_s,mean_waiting_time_s,successful_throughput_tasks_per_hour,distance_per_task,test_episode_count
PPO,MEDIUM,1,99.3,603.8126742843945,154.88590750501248,71.7153598575646,49.06136637991453,100
PPO,MEDIUM,2,99.375,550.304852793888,136.3574656157891,71.76484094032054,48.14530915160017,100
PPO,MEDIUM,3,98.69999999999999,616.2040339597364,168.48790937956915,71.32484454424853,54.50009627539353,100
PPO,MEDIUM,4,99.46249999999999,710.3636619374341,186.08976248534162,71.82967488961448,47.956887322178474,100
PPO,MEDIUM,5,99.45,732.7805289877551,184.11398469432046,71.82124511428692,48.97558689630393,100
PPO,MEDIUM,6,98.98749999999998,725.3840734842773,177.39151805488225,71.50244174627383,52.97562141946016,100
PPO,MEDIUM,7,98.775,557.8993533279848,137.79817500242498,71.34474735716523,54.58283439698358,100
PPO,MEDIUM,8,99.2375,623.6671524875046,150.72332325729892,71.67327347823556,50.19886463380635,100
PPO,MEDIUM,9,98.89999999999999,697.7422161615368,173.72837500284768,71.427277467824,54.05962814517153,100
PPO,MEDIUM,10,99.4,775.2899642652915,190.58863062566314,71.77784609550946,48.266418600094475,100
PPO,DENSE,1,98.08749999999998,525.0886968405016,125.91673939315511,70.86741506379711,58.74028954048985,100
PPO,DENSE,2,97.73749999999998,501.96256571878797,120.42878065834091,70.61985261579332,62.57588890292236,100
PPO,DENSE,3,97.425,505.72412341162715,120.2995380815296,70.39926329397143,67.0070922549781,100
PPO,DENSE,4,98.22499999999998,519.3635528915744,128.057269166338,70.96583079384239,58.087173804571414,100
PPO,DENSE,5,98.66249999999998,548.1750597761959,131.0998085890427,71.2583114948461,53.910613687901915,100
PPO,DENSE,6,97.71249999999999,506.27476311968684,123.18041504347374,70.61033273360671,63.55300438745596,100
PPO,DENSE,7,97.76249999999999,508.6119795300351,122.9766846734001,70.63920812992791,63.970394569753644,100
PPO,DENSE,8,99.25,535.8842626648104,131.03733431710714,71.68307446749384,49.82440086314864,100
PPO,DENSE,9,97.2125,507.1240815845155,120.53940491768492,70.22722997767178,68.30250641237743,100
PPO,DENSE,10,97.82499999999999,532.7406756865566,126.10491202685192,70.69252535432956,63.16809203154331,100
PPO,BURST,1,98.68749999999999,506.58773613806784,128.0914358976798,71.29380413533555,53.008657085292086,100
PPO,BURST,2,97.83749999999999,505.35099359878893,122.56930963121596,70.69967972916966,61.97112305264471,100
PPO,BURST,3,98.97499999999998,505.7927584328746,125.93431062442785,71.47583992201717,52.07804838186114,100
PPO,BURST,4,97.2,498.7946589925187,118.5411268192646,70.23682501524388,66.86771616989604,100
PPO,BURST,5,97.2,497.78871063432047,117.53642085853677,70.24531752347298,68.23994563406325,100
PPO,BURST,6,97.6875,491.55307586681766,120.38990649484735,70.59236094420896,64.25425167007164,100
PPO,BURST,7,97.975,497.0446861221304,122.76979143856538,70.79621351081542,60.46075776626702,100
PPO,BURST,8,97.91249999999998,494.0964811172071,121.83895131394618,70.75158795006523,61.56406084966819,100
PPO,BURST,9,99.3,542.1426102755552,131.7473482655941,71.71146893399178,49.773989383388525,100
PPO,BURST,10,97.88749999999999,494.2511314228475,120.86717997699381,70.7296271820368,62.48185150308699,100
