metric,comparator,comparator_label,group,mixed_minus_comparator,raw_ci95_low,raw_ci95_high,plotted_advantage,plotted_ci95_low,plotted_ci95_high
success_rate,TIME_GREEDY_RULE,Time-greedy,rule,0.038749999999987406,-0.2387500000000098,0.3199999999999986,0.038749999999987406,-0.2387500000000098,0.3199999999999986
success_rate,STAGE19_MEDIUM,Medium specialist,specialist,-2.4937500000000057,-2.9337500000000127,-2.062500000000011,-2.4937500000000057,-2.9337500000000127,-2.062500000000011
success_rate,STAGE19_DENSE,Dense specialist,specialist,-1.2599999999999945,-1.8050000000000237,-0.7537187499999658,-1.2599999999999945,-1.8050000000000237,-0.7537187499999658
success_rate,STAGE19_BURST,Burst specialist,specialist,-1.1937499999999934,-1.8200312500000215,-0.6099999999999992,-1.1937499999999934,-1.8200312500000215,-0.6099999999999992
mean_episode_successful_throughput_tasks_per_hour,TIME_GREEDY_RULE,Time-greedy,rule,0.04809355790666814,-0.13476776045467212,0.2259172964040079,0.04809355790666814,-0.13476776045467212,0.2259172964040079
mean_episode_successful_throughput_tasks_per_hour,STAGE19_MEDIUM,Medium specialist,specialist,-1.599732786701182,-1.8866012367640779,-1.3231043844711763,-1.599732786701182,-1.8866012367640779,-1.3231043844711763
mean_episode_successful_throughput_tasks_per_hour,STAGE19_DENSE,Dense specialist,specialist,-0.8550576376788399,-1.2037229658921693,-0.5352489620131584,-0.8550576376788399,-1.2037229658921693,-0.5352489620131584
mean_episode_successful_throughput_tasks_per_hour,STAGE19_BURST,Burst specialist,specialist,-0.8054210645000808,-1.2043377858745619,-0.4325910904791322,-0.8054210645000808,-1.2043377858745619,-0.4325910904791322
mean_waiting_time,TIME_GREEDY_RULE,Time-greedy,rule,-30.138605308066587,-36.08554405648844,-24.27709667654312,30.138605308066587,24.27709667654312,36.08554405648844
mean_waiting_time,STAGE19_MEDIUM,Medium specialist,specialist,-22.939081958124518,-33.05105966612772,-12.600709145354877,22.939081958124518,12.600709145354877,33.05105966612772
mean_waiting_time,STAGE19_DENSE,Dense specialist,specialist,6.999282454649631,2.478627975162179,12.117855136596793,-6.999282454649631,-12.117855136596793,-2.478627975162179
mean_waiting_time,STAGE19_BURST,Burst specialist,specialist,9.39843168582479,4.813175502165688,14.658593468201719,-9.39843168582479,-14.658593468201719,-4.813175502165688
mean_episode_p95_waiting_time,TIME_GREEDY_RULE,Time-greedy,rule,-132.82047640810362,-158.31646902970408,-106.77046308800577,132.82047640810362,106.77046308800577,158.31646902970408
mean_episode_p95_waiting_time,STAGE19_MEDIUM,Medium specialist,specialist,-88.99785207259725,-127.2570105822934,-50.614944671379526,88.99785207259725,50.614944671379526,127.2570105822934
mean_episode_p95_waiting_time,STAGE19_DENSE,Dense specialist,specialist,17.01239944909861,0.08606744894882082,35.24213017749473,-17.01239944909861,-35.24213017749473,-0.08606744894882082
mean_episode_p95_waiting_time,STAGE19_BURST,Burst specialist,specialist,33.03906778005995,15.73225063832072,51.72387128446008,-33.03906778005995,-51.72387128446008,-15.73225063832072
