stage,method,metric,value,training_seed_sd,source_path
20,STAGE20_MIXED_CURRICULUM,success_rate,0.9651375000000001,0.004411337193338609,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE20_MIXED_CURRICULUM,reward,-292.41131997687523,25.67075736427866,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE20_MIXED_CURRICULUM,mean_episode_successful_throughput_tasks_per_hour,68.40147953061195,0.25912779612500597,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE20_MIXED_CURRICULUM,mean_waiting_time,116.6043539233819,7.133491517255827,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE20_MIXED_CURRICULUM,mean_episode_p95_waiting_time,466.18167453862003,24.613197125497443,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE20_MIXED_CURRICULUM,mean_flow_time,160.85084309433995,8.522259810839367,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE20_MIXED_CURRICULUM,mean_episode_p95_flow_time,516.1967099276932,24.972645911646886,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE20_MIXED_CURRICULUM,distance_per_task,72.12472379198196,3.376275414155496,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_MEDIUM,success_rate,0.9900750000000001,0.0037449966622148684,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_MEDIUM,reward,-353.42146491380703,45.982355597522584,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_MEDIUM,mean_episode_successful_throughput_tasks_per_hour,70.00121231731313,0.228214797993147,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_MEDIUM,mean_waiting_time,139.5434358815064,15.081416260958855,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_MEDIUM,mean_episode_p95_waiting_time,555.1795266112173,57.782357288507704,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_MEDIUM,mean_flow_time,184.6933011597878,15.299685261015997,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_MEDIUM,mean_episode_p95_flow_time,595.9029175395034,50.44439542843593,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_MEDIUM,distance_per_task,52.64696314761519,3.1366550712033368,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_DENSE,success_rate,0.9777375,0.007377106572965364,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_DENSE,reward,-264.75955856062393,6.496242572652709,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_DENSE,mean_episode_successful_throughput_tasks_per_hour,69.25653716829079,0.47108537609128853,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_DENSE,mean_waiting_time,109.60507146873226,2.4893013481106814,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_DENSE,mean_episode_p95_waiting_time,449.1692750895214,10.240990229932942,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_DENSE,mean_flow_time,153.71798496754943,2.990448931935684,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_DENSE,mean_episode_p95_flow_time,501.97104226320863,10.923688158159543,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_DENSE,distance_per_task,62.33968760361019,5.575665518630058,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_BURST,success_rate,0.977075,0.00877876225140346,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_BURST,reward,-258.6765621835698,7.077578054469092,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_BURST,mean_episode_successful_throughput_tasks_per_hour,69.20690059511203,0.5636910562650355,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_BURST,mean_waiting_time,107.2059222375571,2.7769618742162874,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_BURST,mean_episode_p95_waiting_time,433.1426067585601,11.924300555930024,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_BURST,mean_flow_time,151.1957456311586,3.4117545841785475,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_BURST,mean_episode_p95_flow_time,486.4661480139723,12.409164549784151,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,STAGE19_BURST,distance_per_task,61.974184150200095,6.425301052522602,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,TIME_GREEDY_RULE,success_rate,0.9647500000000002,,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,TIME_GREEDY_RULE,reward,-381.8673134089843,,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,TIME_GREEDY_RULE,mean_episode_successful_throughput_tasks_per_hour,68.35338597270528,,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,TIME_GREEDY_RULE,mean_waiting_time,146.74295923144848,,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,TIME_GREEDY_RULE,mean_episode_p95_waiting_time,599.0021509467236,,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,TIME_GREEDY_RULE,mean_flow_time,189.99465661866049,,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,TIME_GREEDY_RULE,mean_episode_p95_flow_time,623.6505979650726,,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,TIME_GREEDY_RULE,distance_per_task,72.55828257705897,,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,SINGLE_DOG_ONLY,success_rate,0.9688749999999999,,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
20,SINGLE_DOG_ONLY,reward,-840.645110565367,,results/stage20_mixed_curriculum/stage20_locked_test_summary.json
