stage,scenario,method,metric,value,source_path
21,CONTROL,PPO,success_rate,0.9674,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,PPO,reward,-257.4275537830069,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,PPO,successful_throughput_tasks_per_hour,68.59959483778698,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,PPO,mean_waiting_time,105.2816000211608,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,PPO,p95_waiting_time,446.38961459034704,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,PPO,mean_flow_time,149.50918273179047,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,PPO,p95_flow_time,497.3777025043323,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,PPO,distance_per_task,72.00440988430643,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,PPO,recovery_time_s,,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,TIME_GREEDY_RULE,success_rate,0.9672499999999999,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,TIME_GREEDY_RULE,reward,-352.74870896398386,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,TIME_GREEDY_RULE,successful_throughput_tasks_per_hour,68.57873363395203,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,TIME_GREEDY_RULE,mean_waiting_time,137.70259488966843,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,TIME_GREEDY_RULE,p95_waiting_time,580.7977944264721,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,TIME_GREEDY_RULE,mean_flow_time,180.9085879210785,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,TIME_GREEDY_RULE,p95_flow_time,615.1140687889582,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,TIME_GREEDY_RULE,distance_per_task,72.42475042970639,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,TIME_GREEDY_RULE,recovery_time_s,,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,SINGLE_DOG_ONLY,success_rate,0.9660000000000001,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,SINGLE_DOG_ONLY,reward,-839.4078578934276,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,SINGLE_DOG_ONLY,successful_throughput_tasks_per_hour,67.91259388649576,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,SINGLE_DOG_ONLY,mean_waiting_time,295.8554872686368,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,SINGLE_DOG_ONLY,p95_waiting_time,1142.166894712646,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,SINGLE_DOG_ONLY,mean_flow_time,353.56295192211445,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,SINGLE_DOG_ONLY,p95_flow_time,1174.4728635324195,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,SINGLE_DOG_ONLY,distance_per_task,46.16597172278215,results/stage21_external_validity/fault_robustness_locked_summary.json
21,CONTROL,SINGLE_DOG_ONLY,recovery_time_s,,results/stage21_external_validity/fault_robustness_locked_summary.json
21,NAVIGATION_FAILURE,PPO,success_rate,0.8869625000000001,results/stage21_external_validity/fault_robustness_locked_summary.json
21,NAVIGATION_FAILURE,PPO,reward,-303.67661890653824,results/stage21_external_validity/fault_robustness_locked_summary.json
21,NAVIGATION_FAILURE,PPO,successful_throughput_tasks_per_hour,62.878928190103586,results/stage21_external_validity/fault_robustness_locked_summary.json
21,NAVIGATION_FAILURE,PPO,mean_waiting_time,111.64506947923762,results/stage21_external_validity/fault_robustness_locked_summary.json
21,NAVIGATION_FAILURE,PPO,p95_waiting_time,467.530019609611,results/stage21_external_validity/fault_robustness_locked_summary.json
21,NAVIGATION_FAILURE,PPO,mean_flow_time,157.0376492776383,results/stage21_external_validity/fault_robustness_locked_summary.json
21,NAVIGATION_FAILURE,PPO,p95_flow_time,520.1553235818104,results/stage21_external_validity/fault_robustness_locked_summary.json
21,NAVIGATION_FAILURE,PPO,distance_per_task,72.52130516676577,results/stage21_external_validity/fault_robustness_locked_summary.json
21,NAVIGATION_FAILURE,PPO,recovery_time_s,35.93448894467113,results/stage21_external_validity/fault_robustness_locked_summary.json
21,NAVIGATION_FAILURE,TIME_GREEDY_RULE,success_rate,0.8858750000000001,results/stage21_external_validity/fault_robustness_locked_summary.json
21,NAVIGATION_FAILURE,TIME_GREEDY_RULE,reward,-404.6972449361047,results/stage21_external_validity/fault_robustness_locked_summary.json
21,NAVIGATION_FAILURE,TIME_GREEDY_RULE,successful_throughput_tasks_per_hour,62.79665796785562,results/stage21_external_validity/fault_robustness_locked_summary.json
21,NAVIGATION_FAILURE,TIME_GREEDY_RULE,mean_waiting_time,146.07490305451265,results/stage21_external_validity/fault_robustness_locked_summary.json
21,NAVIGATION_FAILURE,TIME_GREEDY_RULE,p95_waiting_time,606.040039324046,results/stage21_external_validity/fault_robustness_locked_summary.json
