update,mean,std,count,smooth,smooth_sd
1,-386.80123406053355,121.08058839532325,10,-386.80123406053355,121.08058839532325
2,-413.4359325317723,106.94114396959814,10,-400.1185832961529,114.01086618246069
3,-370.68906555320285,157.2003238048274,10,-390.3087440485029,128.40735205658294
4,-438.7565617686795,125.62797433418993,10,-402.420698478547,127.71250762598467
5,-434.39742348403036,180.97750246492924,10,-408.81604347964367,138.36550659377357
6,-434.82619797781774,140.09343783477468,10,-413.1510692293393,138.65349513394042
7,-365.49087655905,128.74052422121494,10,-406.34247027644085,137.2373564321225
8,-438.25688987902157,180.7896356897859,10,-410.3317727267634,142.68139133933045
9,-408.27382669706304,182.82755513035764,10,-410.1031120567967,147.14207620500014
10,-354.09845716342807,99.58591171033218,10,-404.50264656745986,142.38645975553334
11,-422.7312825866845,119.69594043330294,10,-406.1597952964803,140.32368527169422
12,-410.87125901911287,114.17965413284014,10,-406.5524172733663,138.14501601012304
13,-376.5041241409077,146.3195075791156,10,-404.24101010933106,138.7738230538917
14,-418.4593485327532,144.83691198253157,10,-405.25660571100406,139.20690083450884
15,-435.12447027458785,162.76009014281757,10,-407.2477966819097,140.77711345506273
16,-410.60163708723195,142.25043046680912,10,-407.45741170724233,140.8691957682969
17,-396.40842995734886,104.79193164418652,10,-406.8074716043074,138.74700376099628
18,-363.5780994721552,212.75989016648543,10,-404.40583981918786,142.85883078352347
19,-427.94360654203155,107.5985918344185,10,-405.64466964670595,141.00302873357057
20,-414.7268962253696,154.2393583080416,10,-406.0987809756391,141.66484521229413
21,-442.9494233215385,164.1371554789405,10,-407.85357346830097,142.73495522499158
22,-405.4812281889203,138.01594252153626,10,-407.7457395919655,142.5204546475618
23,-439.88468225783583,189.49028449051875,10,-409.14308492526425,144.56262116247296
24,-464.61101781864784,152.56045371147374,10,-411.4542487958219,144.895864185348
25,-388.5155612532374,156.24641567078697,10,-410.53670129411853,145.34988624476554
26,-422.5092105178126,135.0429350788224,10,-410.9971824181067,144.95346504607542
27,-362.6569884215748,199.96760370263922,10,-409.20680486267963,146.99102573705926
28,-377.70607511101326,155.12403422600198,10,-408.0817788001201,147.28149032595007
29,-420.5900716387978,153.14759598350207,10,-408.5130992428331,147.48376983138292
30,-467.2936264013517,145.33948350200862,10,-410.47245014811705,147.4122936204038
31,-426.34186946728977,110.6752193493755,10,-410.9843669003484,146.22722670843515
32,-410.2631584804514,201.292527595141,10,-410.9618291372267,147.94801736114465
33,-399.4692432894945,257.71645404104356,10,-410.6135689600227,151.27433362417187
34,-516.976312572659,182.51010418857783,10,-413.74188494862966,152.19303275841912
35,-440.816316502959,147.96051144360007,10,-414.5154401358962,152.0721035779957
36,-326.9921462002461,111.7758329853821,10,-412.08423752657257,150.9527627282009
37,-446.4879942133249,220.13935133602206,10,-413.0140687883767,152.82267052841226
38,-339.2938036263201,118.7820727333133,10,-411.0740618104278,151.9268653232781
39,-433.54635467390955,149.72322370743626,10,-411.650274447953,151.87036169210265
40,-353.0912948253408,150.93741572381336,10,-410.18629995738775,151.84703804289543
41,-401.5201098065963,225.6959719882024,10,-409.974929465905,153.64823155375657
42,-362.87510757349844,181.58988924358496,10,-408.8535051351334,154.31350911780012
43,-433.4204613912564,197.8583385066256,10,-409.4248296992293,155.32617956870305
44,-455.7062010312694,191.12742666023277,10,-410.47667904768474,156.13984427532873
45,-461.3930222156454,176.104147122682,10,-411.60815334030605,156.58349544971435
46,-339.44255810260194,154.44065827027873,10,-410.03933605252985,156.5369120327701
47,-489.25479116922304,239.26002942375476,10,-411.7247712677787,158.29697836023786
48,-349.1285477167672,157.53998187983703,10,-410.4206832771326,158.2812076002295
49,-390.9431509295366,160.7316416127288,10,-410.0231826169775,158.33121645762745
50,-368.7181914847113,137.55897210825944,10,-409.1970827943322,157.9157715706401
51,-398.0040133875203,167.4723464757776,10,-409.42113838087187,158.8436067322492
52,-436.5775922095726,161.4544353409442,10,-409.8839715744278,159.9338725596761
53,-447.1442065831046,127.08778963596659,10,-411.41307439502583,159.33162187629887
54,-379.47762376615304,158.83507953154134,10,-410.22749563497536,159.9957639802459
55,-382.66151399867823,121.87134684245267,10,-409.1927774452683,158.81364086779638
56,-461.2298252572958,193.53198665219526,10,-409.7208499908578,159.88241184414474
57,-422.9162170127667,150.30165241527635,10,-410.86935679993223,160.31363440802596
58,-443.08383358280525,166.18689269791489,10,-410.9658956740079,160.0215795481886
59,-470.3936663319144,120.6306720952,10,-412.208292466705,158.77764188748543
60,-364.7511257063272,120.59988273319844,10,-412.42134583756297,159.19792130794275
61,-361.52929084852576,183.1677530581576,10,-411.1973060027998,160.46735756043984
62,-435.12101030433706,192.13341476911265,10,-411.68230102850436,162.02643277316528
63,-369.43226435405086,158.86362603031353,10,-411.5408638327673,162.27731514218922
64,-366.60764659090836,100.40447171469879,10,-410.50382979393044,161.38866633683259
65,-372.2262793888352,139.69873659581933,10,-409.2458659762153,160.92743926589262
66,-326.6279242322257,85.8117888530199,10,-407.56639171911536,159.79866643361683
67,-319.79017277571603,115.5059359858824,10,-406.03402657548264,160.01294652045073
68,-386.64353844479893,196.94161097436782,10,-406.49533535493555,159.6965809366084
69,-375.8491969731902,173.21874809731935,10,-405.4534471635587,161.00898406186639
70,-354.81458552451295,138.8272288165863,10,-404.2552009495415,160.7007414720373
71,-409.8332518472583,173.48986031210165,10,-403.592877520056,160.88779556870057
72,-363.7064958882374,130.02583467703795,10,-402.7573828740423,160.7279934118106
73,-399.97070347616096,147.2979517141473,10,-401.95910329840876,159.88414675628314
74,-373.66857514537,62.58463797166292,10,-400.14025444494314,158.08463044148698
75,-355.6422803356405,244.65429392624068,10,-399.4827888265911,159.85278800659603
76,-403.60692716312303,167.65426575100858,10,-399.1047431594974,160.50501462003976
77,-376.8938441307686,196.56869914618798,10,-399.3894802736813,160.43703652891077
78,-514.4951145318244,232.41990130344507,10,-402.1252610620974,161.9829538704596
79,-389.03697801168494,188.59030606950523,10,-401.4941991895552,162.69180807217967
80,-415.7169661596737,152.14393400274102,10,-400.4626659847216,162.8278970821943
81,-431.1906588985138,155.0744532912477,10,-400.5596417733461,163.71588176103177
82,-400.2530308006227,184.62712950690383,10,-400.35943921974956,163.38257379926702
83,-415.0529531303843,150.21171066245878,10,-400.6711134165674,161.2324789316953
84,-405.25881932154516,148.88266600800657,10,-398.4367635515451,160.5599301680839
85,-361.0023542236402,156.71604633355966,10,-396.8404843059587,160.7350408658831
86,-352.6416001973038,160.109490896804,10,-397.35347338589986,161.70171402411154
87,-398.3756359974462,104.31366917154232,10,-396.3912262215823,159.38520038082194
88,-405.42599095670477,200.99128256815663,10,-397.71386996819007,161.02938457751884
89,-284.3758567202894,116.9695157623883,10,-394.7304600091177,160.37431041861785
90,-416.81438279412816,195.9211068246489,10,-396.0049217684934,161.27398424063458
91,-320.8492207374503,195.55565914936778,10,-394.3915039871104,160.67117798385786
92,-436.9106330452734,148.94527718362474,10,-395.87221449654595,160.01828574265866
93,-402.85102158338196,252.4024854028121,10,-395.26082570038847,161.1091686805824
94,-396.0927710672581,145.9402896812201,10,-394.06855710110824,160.20542594100212
95,-377.18460276483654,191.5616946836693,10,-392.38438871209195,160.51457689222187
96,-443.4289156094119,115.92106830267038,10,-394.4641158622282,159.7441850928697
97,-360.3353537377167,177.15111144719128,10,-391.885727113598,158.50200673333845
98,-322.20127782532853,96.20255684955033,10,-391.34718171576924,157.2752582327327
99,-387.31463392559226,228.00106441292823,10,-391.2746113756903,158.62064668873668
100,-466.6605176821451,186.9556169327109,10,-393.233457899639,159.6085795852257
101,-379.68891468337495,172.97897130605955,10,-392.8671559255561,159.71871208183134
102,-387.942601967264,180.85950563308947,10,-391.89445612071,160.10681348767426
103,-359.8881054756213,125.96479194254356,10,-390.14933409856036,160.0843535338058
104,-431.6096358930016,162.59094680814326,10,-391.1919743410973,160.15947087933782
105,-353.6520793549071,110.97891523539359,10,-390.6117856482218,159.94162224719662
