stage,source_path,row_count,column_count,columns
18,results/stage18_clean_ablation_locked_test_v3/stage18_clean_ablation_locked_test_v3_statistics.csv,24,12,comparison | metric | hypothesis_family | left_estimate | right_estimate | mean_delta | ci_low | ci_high | exact_two_sided_sign_flip_p | family_holm_adjusted_p | global_holm_adjusted_p | positive_training_seed_count
18,results/stage18_clean_ablation_locked_test_v4/stage18_clean_ablation_locked_test_v4_statistics.csv,56,13,profile | comparison | metric | hypothesis_family | left_estimate | right_estimate | mean_delta | ci_low | ci_high | exact_two_sided_sign_flip_p | family_holm_adjusted_p | global_holm_adjusted_p | positive_training_seed_count
18,results/stage18_locked_test/stage18_locked_test_statistics.csv,36,10,profile | comparison | metric | mean_delta | sample_stdev_across_training_seeds | ci_low | ci_high | exact_two_sided_sign_flip_p | cohen_dz | positive_training_seed_count
18,results/stage18_locked_test_v2/stage18_locked_test_v2_cross_load_statistics.csv,36,17,profile | training_profile | evaluation_profile | comparison | metric | hypothesis_family | left_estimate | right_estimate | mean_delta | ci_low | ci_high | exact_two_sided_sign_flip_p | family_holm_adjusted_p | family_bh_fdr_q | global_holm_adjusted_p | global_bh_fdr_q | positive_training_seed_count
18,results/stage18_locked_test_v2/stage18_locked_test_v2_statistics.csv,60,17,profile | training_profile | evaluation_profile | comparison | metric | hypothesis_family | left_estimate | right_estimate | mean_delta | ci_low | ci_high | exact_two_sided_sign_flip_p | family_holm_adjusted_p | family_bh_fdr_q | global_holm_adjusted_p | global_bh_fdr_q | positive_training_seed_count
18,results/stage18_quality_review/stage18_comparisons_with_multiplicity.csv,36,19,profile | comparison | metric | training_seed_count | test_episode_count_per_seed | mean_delta | sample_stdev_across_training_seeds | hierarchical_bootstrap_95ci | exact_two_sided_sign_flip_p | cohen_dz | positive_training_seed_count | seed_mean_deltas | ci_low | ci_high | holm_adjusted_p_global36 | bh_fdr_q_global36 | raw_significant_0_05 | holm_significant_0_05 | bh_significant_0_05
18,results/stage18_quality_review/stage18_cross_load_summary.csv,9,9,training_profile | evaluation_profile | route | reward_delta | success_delta_pp | successful_throughput_delta | positive_reward_seed_count | car_dog_car_share_pct | single_dog_share_pct
18,results/stage18_quality_review/stage18_main_effects_corrected.csv,9,12,profile | metric | mean_delta | ci_low | ci_high | raw_p | bh_q_global36 | holm_p_global36 | positive_seed_count | mean_delta_pp | ci_low_pp | ci_high_pp
18,results/stage18_quality_review/stage18_quality_issues.csv,9,6,severity_rank | severity | finding | evidence | impact | remediation
18,results/stage18_quality_review/stage18_successful_throughput.csv,3,9,profile | policy_successful_throughput | baseline_successful_throughput | mean_delta | ci_low_crossed | ci_high_crossed | exact_sign_flip_p | positive_training_seed_count | unit
18,results/stage18_v2_formal_quality_review/ablation_comparison.csv,27,7,profile | condition | metric | delta | ci_low | ci_high | family_holm_p
18,results/stage18_v2_formal_quality_review/primary_comparison.csv,9,8,profile | metric | left | right | delta | ci_low | ci_high | family_holm_p
18,results/stage18_v2_formal_quality_review/single_dog_comparison.csv,9,8,profile | metric | left | right | delta | ci_low | ci_high | family_holm_p
18,results/stage18_v2_formal_quality_review/v1_v2_protocol_sensitivity.csv,9,5,profile | metric | v1_delta | v2_delta | change
23,results/stage23_state_sufficiency/stage23_markov_v3_1720_variable_map.csv,1720,6,index | block | slot | field | source_expression | causal_scope
23,results/stage23_state_sufficiency/stage23_observation_284_variable_map.csv,284,6,index | block | slot | field | source_expression | causal_scope
