stage,source_path,artifact,gate,status,passed,claim_boundary,profile,execution_mode,updates,episodes_trained_total
10,results/stage10/stage10_rule_baseline_fixed_200.summary.json,stage10_rule_baseline_fixed_200.summary.json,,NOT_REPORTED,,,,,,
11,results/stage11/stage11_persistent_fixed_20.summary.json,stage11_persistent_fixed_20.summary.json,,NOT_REPORTED,,,,,,
11,results/stage11/stage11_persistent_medium_20.summary.json,stage11_persistent_medium_20.summary.json,,NOT_REPORTED,,,,,,
11,results/stage11/stage11_persistent_medium_20_balanced.summary.json,stage11_persistent_medium_20_balanced.summary.json,,NOT_REPORTED,,,,,,
11,results/stage11/stage11_persistent_medium_20_critical_path.summary.json,stage11_persistent_medium_20_critical_path.summary.json,,NOT_REPORTED,,,,,,
11,results/stage11/stage11_persistent_medium_20_final_gate.summary.json,stage11_persistent_medium_20_final_gate.summary.json,,NOT_REPORTED,,,,,,
11,results/stage11/stage11_persistent_medium_20_multimode_speed.summary.json,stage11_persistent_medium_20_multimode_speed.summary.json,,NOT_REPORTED,,,,,,
11,results/stage11/stage11_persistent_medium_20_six_types_multimode.summary.json,stage11_persistent_medium_20_six_types_multimode.summary.json,,NOT_REPORTED,,,,,,
11,results/stage11/stage11_persistent_medium_20_standby.summary.json,stage11_persistent_medium_20_standby.summary.json,,NOT_REPORTED,,,,,,
11,results/stage11/stage11_persistent_normal_20.summary.json,stage11_persistent_normal_20.summary.json,,NOT_REPORTED,,,,,,
11,results/stage11/stage11_persistent_overload_20.summary.json,stage11_persistent_overload_20.summary.json,,NOT_REPORTED,,,,,,
11,results/stage11/stage11_persistent_smoke_5.summary.json,stage11_persistent_smoke_5.summary.json,,NOT_REPORTED,,,,,,
12,results/stage12/stage12_encoding_medium_20.summary.json,stage12_encoding_medium_20.summary.json,,NOT_REPORTED,,,,,,
13,results/stage13/stage13_final_medium_600.summary.json,stage13_final_medium_600.summary.json,FINAL,PASS,True,,,,,
13,results/stage13/stage13_reward_medium_20.summary.json,stage13_reward_medium_20.summary.json,,NOT_REPORTED,,,,,,
14,results/stage14/context_warm_start/stage14_context_policy_warm_start.summary.json,stage14_context_policy_warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,,CONCURRENT,,
