stage,results_present,total_result_files,data_volume_mb,json_files,csv_files,jsonl_files,history_files,checkpoint_files,summary_files,gate_files,status_files,manifest_files,log_files,script_files,config_files,document_files,coverage_note
1,False,0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,no result file found; support files only
2,False,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,no result file found; support files only
3,False,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,no result file found; support files only
4,False,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,no result file found; support files only
5,True,174,12.932,3,0,3,0,0,3,0,0,0,168,2,0,0,current result files exported
6,True,652,31.223,3,0,9,0,0,3,0,0,0,639,3,1,0,current result files exported
7,True,3,0.136,1,0,1,0,0,1,0,0,0,0,2,0,0,current result files exported
8,True,3,0.087,1,0,1,0,0,1,0,0,0,0,2,0,0,current result files exported
9,True,3,0.095,1,0,1,0,0,1,0,0,0,0,2,0,0,current result files exported
10,True,3,0.094,1,0,1,0,0,1,0,0,0,0,2,0,0,current result files exported
11,True,27,1.795,11,0,11,0,0,11,1,0,0,0,2,0,0,current result files exported
12,True,5,0.035,1,0,1,0,0,1,0,0,0,0,2,0,0,current result files exported
13,True,6,0.297,2,0,2,0,0,2,0,0,0,0,2,0,0,current result files exported
14,True,308,256.479,32,0,7,12,258,16,2,0,0,0,17,0,0,current result files exported
15,True,14,0.158,7,0,0,0,0,0,0,0,0,0,5,0,0,current result files exported
16,True,10,3.833,6,0,0,1,3,1,1,0,0,0,2,0,0,current result files exported
17,True,36,18.076,17,0,0,6,18,8,1,0,0,0,2,0,0,current result files exported
18,True,14168,12542.479,2124,14,274,561,11743,569,3,28,4,0,33,3,0,current result files exported
19,True,67,318.626,66,0,0,0,0,1,0,2,1,0,3,1,0,current result files exported
20,True,622,1018.801,166,0,13,26,443,28,0,16,1,0,8,1,0,current result files exported
21,True,69,494.321,69,0,0,0,0,1,0,3,1,0,9,1,0,current result files exported
22,True,2008,2270.75,250,0,33,77,1725,80,0,48,1,0,7,1,0,current result files exported
23,True,602,1415.462,123,2,14,32,463,33,3,17,1,0,12,2,1,current result files exported
24,True,5,16.574,5,0,0,0,0,1,1,0,0,0,4,1,1,current result files exported
25,True,48,92.895,14,0,0,4,34,4,2,0,0,0,6,1,1,current result files exported
