stage,source_path,profile,condition,seed,endpoint,loss,actor_loss,value_loss,entropy,update,episodes_trained,rollout_steps,rollout_mean_reward,approximate_kl,clip_fraction,gradient_norm,rollout_completed,rollout_failed,rollout_peak_active_tasks,raw_episode_reward_mean,raw_reward_mean,normalized_reward_mean,normalized_reward_std,return_normalizer_variance
14,results/stage14/context_warm_start/stage14_context_policy_warm_start.history.json,,context_warm_start,,first,2.407432518005371,2.407432518005371,0.09262365981936455,2.7000932598114016,,,,,,,,,,,,,,,
14,results/stage14/context_warm_start/stage14_context_policy_warm_start.history.json,,context_warm_start,,last,0.14178509756922722,0.14178509756922722,0.18946742296218871,0.2498744398355484,,,,,,,,,,,,,,,
14,results/stage14/ppo/long/realistic_concurrent_medium/stage14_realistic_concurrent_medium.history.json,MEDIUM,realistic_concurrent_medium,,first,11.014504164457321,0.005077390582300723,22.036876767873764,0.901158731081523,1,4,236,22.40528196840877,0.0003831263354072689,0.0,10.232786893844604,77,3,3,,,,,
14,results/stage14/ppo/long/realistic_concurrent_medium/stage14_realistic_concurrent_medium.history.json,MEDIUM,realistic_concurrent_medium,,last,0.5260027634576545,-0.005911509273573756,1.0688502676784992,0.2510862385388464,250,1000,236,37.29113459318583,0.006304252328845905,0.02701822924427688,9.915781669318676,79,1,2,,,,,
14,results/stage14/ppo/long/realistic_concurrent_medium_reward_v2_context_v2/stage14_realistic_concurrent_medium_reward_v2_context_v2.history.json,MEDIUM,realistic_concurrent_medium_reward_v2_context_v2,,first,0.2773597594932653,0.003389183431863785,0.5548449452035129,0.3451891985243236,1,4,235,17.91965289057023,0.2101527820235457,0.08664772752672434,2.6320277843624353,77,3,2,17.91965289057023,0.3050154149532318,0.08611515164375305,0.35249826312065125,12.54539450262722
14,results/stage14/ppo/long/realistic_concurrent_medium_reward_v2_context_v2/stage14_realistic_concurrent_medium_reward_v2_context_v2.history.json,MEDIUM,realistic_concurrent_medium_reward_v2_context_v2,,last,0.13735130109125748,0.002503924159100279,0.2763773729093373,0.33413087273947895,2000,8000,235,12.639014036534016,0.012522497010650113,0.09019886422902346,2.2290060594677925,72,8,2,12.639014036534016,0.21513217687606812,0.05777657777070999,0.363435834646225,13.864587048088001
14,results/stage14/ppo/long/realistic_serial_medium_reward_v2_context_v2/stage14_realistic_serial_medium_reward_v2_context_v2.history.json,MEDIUM,realistic_serial_medium_reward_v2_context_v2,,first,0.44434761120937766,-0.031216335017234087,0.9540834560990333,0.14777898966078473,1,4,132,15.115482093887485,0.031713225366547707,0.0796875,3.862572430074215,77,3,1,15.115482093887485,0.4580449163913727,0.14092876017093658,0.40053826570510864,10.563719297183265
14,results/stage14/ppo/long/realistic_serial_medium_reward_v2_context_v2/stage14_realistic_serial_medium_reward_v2_context_v2.history.json,MEDIUM,realistic_serial_medium_reward_v2_context_v2,,last,0.1673315125517547,-0.008681385545060039,0.3682400155812502,0.8107109777629375,2000,8000,126,10.669269156248824,-5.6524440879002213e-05,0.04375000041909516,2.505737081170082,73,7,1,10.669269156248824,0.33870697021484375,0.09581643342971802,0.47035959362983704,12.495918490140214
14,results/stage14/ppo/smoke/stage14_realistic_concurrent_medium_reward_v2_smoke.history.json,MEDIUM,stage14_realistic_concurrent_medium_reward_v2_smoke,,first,0.3545507052913308,-0.014574491768144071,0.7563207447528839,0.9035176448523998,1,2,118,3.982469374901867,-0.000923301005968824,0.0,0.4315930977463722,39,1,2,,0.06749948114156723,0.018639229238033295,0.38877418637275696,13.114294512629819
14,results/stage14/ppo/smoke/stage14_realistic_concurrent_medium_reward_v2_smoke.history.json,MEDIUM,stage14_realistic_concurrent_medium_reward_v2_smoke,,last,0.1837092509958893,-0.011357968673110008,0.4088890850543976,0.9377323910593987,20,40,117,1.1984376641099685,-0.0008182252568076365,0.0,0.35661502182483673,38,2,2,,0.020486118271946907,0.003929635975509882,0.27692797780036926,27.177795343343206
14,results/stage14/ppo/smoke/stage14_realistic_concurrent_medium_smoke.history.json,MEDIUM,stage14_realistic_concurrent_medium_smoke,,first,14.28071117401123,-0.01079816510900855,28.602417945861816,0.9699936285614967,1,2,116,22.44384976700316,0.0002809542681916355,0.0,10.609977006912231,39,1,2,,,,,
14,results/stage14/ppo/smoke/stage14_realistic_concurrent_medium_smoke.history.json,MEDIUM,stage14_realistic_concurrent_medium_smoke,,last,14.25836730003357,0.00771215814165771,28.520359754562378,0.9524607807397842,2,4,118,26.393020251935894,-0.00041570168104954064,0.0,15.46939766407013,39,1,2,,,,,
14,results/stage14/ppo/smoke/stage14_smdp_ppo_concurrent_medium.history.json,MEDIUM,stage14_smdp_ppo_concurrent_medium,,first,14.28071117401123,-0.01079816510900855,28.602417945861816,0.9699936285614967,1,2,116,22.44384976700316,0.0002809542681916355,0.0,10.609977006912231,39,1,2,,,,,
14,results/stage14/ppo/smoke/stage14_smdp_ppo_concurrent_medium.history.json,MEDIUM,stage14_smdp_ppo_concurrent_medium,,last,14.25836730003357,0.00771215814165771,28.520359754562378,0.9524607807397842,2,4,118,26.393020251935894,-0.00041570168104954064,0.0,15.46939766407013,39,1,2,,,,,
14,results/stage14/ppo/smoke/stage14_smdp_ppo_mixed_medium.history.json,MEDIUM,stage14_smdp_ppo_mixed_medium,,first,10.653112332026163,-0.0036152576406796775,21.341731389363606,1.4138038754463196,1,2,82,15.50983279081969,0.0004103761554385225,0.0,7.050779024759929,38,2,2,,,,,
14,results/stage14/ppo/smoke/stage14_smdp_ppo_mixed_medium.history.json,MEDIUM,stage14_smdp_ppo_mixed_medium,,last,16.3376145362854,-0.021780415438115597,32.74695332845052,1.4081256190935771,2,4,82,20.26187750243475,0.00011145765893161297,0.0,14.53577184677124,39,1,2,,,,,
14,results/stage14/ppo/smoke/stage14_smdp_ppo_serial_medium.history.json,MEDIUM,stage14_smdp_ppo_serial_medium,,first,5.562080264091492,0.008049069525441155,11.158543586730957,2.524042844772339,1,2,49,8.651293571473069,0.001528875291114673,0.0,3.7828546166419983,39,1,0,,,,,
14,results/stage14/ppo/smoke/stage14_smdp_ppo_serial_medium.history.json,MEDIUM,stage14_smdp_ppo_serial_medium,,last,17.261189937591553,0.015801241621375084,34.54036092758179,2.479172468185425,2,4,48,15.84260998456638,-0.0005374923348426819,0.0,10.837505340576172,39,1,0,,,,,
14,results/stage14/ppo/smoke_context_v2/stage14_context_v2_reward_v2_smoke.history.json,,smoke_context_v2,,first,0.4948851875960827,0.007177574327215552,0.9782792143523693,0.14319921657443047,1,2,118,17.580233244746736,0.05276999523630366,0.06569602340459824,4.813968047499657,39,1,2,17.580233244746736,0.29797008633613586,0.08531533181667328,0.366820365190506,12.198070988009201
14,results/stage14/ppo/smoke_context_v2/stage14_context_v2_reward_v2_smoke.history.json,,smoke_context_v2,,last,0.45278589241206646,0.0028794966638088226,0.9089460372924805,0.4566624667495489,5,10,117,16.9549143553543,0.0046178731572581455,0.0234375,1.4710665196180344,39,1,2,16.9549143553543,0.2898275852203369,0.08049062639474869,0.3426058292388916,12.965486058199549
14,results/stage14/ppo/smoke_serial_context_v2/stage14_serial_context_v2_smoke.history.json,,smoke_serial_context_v2,,first,0.8030279725790024,-0.004662258550524712,1.6198086440563202,0.2214100193232298,1,2,64,15.750925390669597,0.03593092551454902,0.09375,7.944787442684174,39,1,1,15.750925390669597,0.49221640825271606,0.16037285327911377,0.4153001606464386,9.419990183297378
14,results/stage14/ppo/smoke_serial_context_v2/stage14_serial_context_v2_smoke.history.json,,smoke_serial_context_v2,,last,0.18309987134610614,-0.14693358323226371,0.6630020647620162,0.14675744173425476,5,10,65,15.14693504391813,0.0034488684808214507,0.015625,3.8490473652879396,38,2,1,15.14693504391813,0.46605953574180603,0.1431797444820404,0.40849897265434265,10.595455041314349
14,results/stage14/stage14_candidate_policy_smoke.history.json,,stage14,,first,3.3308496189117434,2.703059883117676,2.511158777475357,2.829540882110596,,,,,,,,,,,,,,,
14,results/stage14/stage14_candidate_policy_smoke.history.json,,stage14,,last,1.0106226539611816,0.6406988286972046,1.4796953058242799,0.7180381321907043,,,,,,,,,,,,,,,
16,results/stage16/stage16_seed_protocol_training_smoke.history.json,,stage16,,first,0.48888660967350006,-0.00549234077334404,1.0071532726287842,0.9197686314582825,1,1,57,-1.3058386482933884,3.3536256523802876e-05,0.0,0.2813410460948944,20,0,2,-1.3058386482933884,-0.02290945313870907,-0.006924776826053858,0.4209701120853424,10.945042902755702
16,results/stage16/stage16_seed_protocol_training_smoke.history.json,,stage16,,last,0.48888660967350006,-0.00549234077334404,1.0071532726287842,0.9197686314582825,1,1,57,-1.3058386482933884,3.3536256523802876e-05,0.0,0.2813410460948944,20,0,2,-1.3058386482933884,-0.02290945313870907,-0.006924776826053858,0.4209701120853424,10.945042902755702
17,results/stage17/smoke/stage17_fixed_gamma_smoke.history.json,,stage17_fixed_gamma_smoke,,first,0.265489187091589,-0.010840587317943573,0.5710858851671219,0.9213169515132904,1,1,59,-10.92543946211205,0.00017397032934240997,0.0,0.9420070052146912,19,1,2,-10.92543946211205,-0.18517695367336273,-0.02578655257821083,0.2159433364868164,51.56882826297065
17,results/stage17/smoke/stage17_fixed_gamma_smoke.history.json,,stage17_fixed_gamma_smoke,,last,0.265489187091589,-0.010840587317943573,0.5710858851671219,0.9213169515132904,1,1,59,-10.92543946211205,0.00017397032934240997,0.0,0.9420070052146912,19,1,2,-10.92543946211205,-0.18517695367336273,-0.02578655257821083,0.2159433364868164,51.56882826297065
17,results/stage17/smoke/stage17_flat_masked_ppo_smoke.history.json,,stage17_flat_masked_ppo_smoke,,first,0.3420533984899521,0.00593934953212738,0.6906642019748688,0.9218053817749023,1,1,58,-15.097417556391001,1.839784818002954e-05,0.0,1.6435110569000244,19,1,2,-15.097417556391001,-0.26030033826828003,-0.0418386347591877,0.24856874346733093,38.70744181734638
17,results/stage17/smoke/stage17_flat_masked_ppo_smoke.history.json,,stage17_flat_masked_ppo_smoke,,last,0.3420533984899521,0.00593934953212738,0.6906642019748688,0.9218053817749023,1,1,58,-15.097417556391001,1.839784818002954e-05,0.0,1.6435110569000244,19,1,2,-15.097417556391001,-0.26030033826828003,-0.0418386347591877,0.24856874346733093,38.70744181734638
17,results/stage17/smoke/stage17_full_context_v2_smoke.history.json,,stage17_full_context_v2_smoke,,first,0.25985998287796974,-0.009708523750305176,0.5575635433197021,0.9213265776634216,1,1,59,-10.92543946211205,-0.00012899345892947167,0.0,0.8789357841014862,19,1,2,-10.92543946211205,-0.18517695367336273,-0.027447305619716644,0.2298509180545807,45.51708291281032
17,results/stage17/smoke/stage17_full_context_v2_smoke.history.json,,stage17_full_context_v2_smoke,,last,0.25985998287796974,-0.009708523750305176,0.5575635433197021,0.9213265776634216,1,1,59,-10.92543946211205,-0.00012899345892947167,0.0,0.8789357841014862,19,1,2,-10.92543946211205,-0.18517695367336273,-0.027447305619716644,0.2298509180545807,45.51708291281032
17,results/stage17/smoke/stage17_no_handover_cues_smoke.history.json,,stage17_no_handover_cues_smoke,,first,0.25995827093720436,-0.009610194712877274,0.5575636178255081,0.9213345944881439,1,1,59,-10.92543946211205,-6.319282692857087e-05,0.0,0.8787315189838409,19,1,2,-10.92543946211205,-0.18517695367336273,-0.027447305619716644,0.2298509180545807,45.51708291281032
17,results/stage17/smoke/stage17_no_handover_cues_smoke.history.json,,stage17_no_handover_cues_smoke,,last,0.25995827093720436,-0.009610194712877274,0.5575636178255081,0.9213345944881439,1,1,59,-10.92543946211205,-6.319282692857087e-05,0.0,0.8787315189838409,19,1,2,-10.92543946211205,-0.18517695367336273,-0.027447305619716644,0.2298509180545807,45.51708291281032
17,results/stage17/smoke/stage17_no_persistent_position_smoke.history.json,,stage17_no_persistent_position_smoke,,first,0.266435444355011,-0.009744025766849518,0.5707856267690659,0.9213331937789917,1,1,59,-10.92543946211205,-0.00022945029195398092,0.0,0.8209600448608398,19,1,2,-10.92543946211205,-0.18517695367336273,-0.027447305619716644,0.2298509180545807,45.51708291281032
17,results/stage17/smoke/stage17_no_persistent_position_smoke.history.json,,stage17_no_persistent_position_smoke,,last,0.266435444355011,-0.009744025766849518,0.5707856267690659,0.9213331937789917,1,1,59,-10.92543946211205,-0.00022945029195398092,0.0,0.8209600448608398,19,1,2,-10.92543946211205,-0.18517695367336273,-0.027447305619716644,0.2298509180545807,45.51708291281032
17,results/stage17/smoke/stage17_no_queue_resource_smoke.history.json,,stage17_no_queue_resource_smoke,,first,0.26123595982789993,-0.009633980691432953,0.5601664185523987,0.9213269054889679,1,1,59,-10.92543946211205,-0.00012945797061547637,0.0,0.8895127475261688,19,1,2,-10.92543946211205,-0.18517695367336273,-0.027447305619716644,0.2298509180545807,45.51708291281032
17,results/stage17/smoke/stage17_no_queue_resource_smoke.history.json,,stage17_no_queue_resource_smoke,,last,0.26123595982789993,-0.009633980691432953,0.5601664185523987,0.9213269054889679,1,1,59,-10.92543946211205,-0.00012945797061547637,0.0,0.8895127475261688,19,1,2,-10.92543946211205,-0.18517695367336273,-0.027447305619716644,0.2298509180545807,45.51708291281032
18,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,,seed_01,1,first,0.26888169524318073,0.014659993874374777,0.5136140221729875,0.25853055421891086,1,4,235,15.705835824474413,0.12035901868313559,0.11851917672902346,2.046532414853573,76,4,2,15.705835824474413,0.26733338832855225,0.07416822016239166,0.3651135563850403,12.991840157646196
18,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,,seed_01,1,last,0.01107970965676941,-0.013974286208394915,0.056609715858940035,0.3250863035354996,2000,8000,234,19.064189283299118,0.014580925948393997,0.04511718754656613,1.6011854829266667,79,1,2,19.064189283299118,0.3258835971355438,0.08823658525943756,0.33912599086761475,13.640410062596851
18,results/stage18/full_context_v2/seed_01/warm_start.history.json,,seed_01,1,first,2.3968116283416747,2.3968116283416747,0.0916158322431147,2.707450103759766,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_01/warm_start.history.json,,seed_01,1,last,0.13441327638924122,0.13441327638924122,0.0909724379144609,0.24874622464179993,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,,seed_02,2,first,0.18092908963444643,-0.008438357675913721,0.38363305013626814,0.24490798462647945,1,4,234,17.768722722243446,0.0794991516522714,0.07988281268626451,1.652516053058207,78,2,2,17.768722722243446,0.3037388324737549,0.08437462896108627,0.34905970096588135,12.959161130732268
18,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,,seed_02,2,last,0.011678792361635715,-0.029789076244924217,0.08927166956709698,0.3167964802123606,2000,8000,236,16.35044721193215,-0.004529349564108998,0.056966146221384406,1.5197998685762286,76,4,2,16.35044721193215,0.2771262228488922,0.0755377933382988,0.34871405363082886,13.45942632762215
18,results/stage18/full_context_v2/seed_02/warm_start.history.json,,seed_02,2,first,2.354656753540039,2.354656753540039,0.2135289067029953,2.6905228233337404,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_02/warm_start.history.json,,seed_02,2,last,0.1447827398777008,0.1447827398777008,0.32826406836509703,0.28118428111076355,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_03/stage18_ppo.history.json,,seed_03,3,first,0.2618281888135243,-0.006586399511434138,0.5430391738191247,0.31049955421445463,1,4,235,16.250843131142943,0.20557982532773167,0.1206498583778739,1.6830439607147127,75,5,2,16.250843131142943,0.2766101062297821,0.08229564875364304,0.38511157035827637,11.29749872450095
18,results/stage18/full_context_v2/seed_03/stage18_ppo.history.json,,seed_03,3,last,0.023611550277564675,-0.029323468334041536,0.11284990597050637,0.3489934836397879,2000,8000,235,17.926119050046072,0.004641264071324258,0.05166903417557478,1.1808544574305415,78,2,2,17.926119050046072,0.3051254451274872,0.08218532800674438,0.3537796139717102,13.783774402358782
18,results/stage18/full_context_v2/seed_03/warm_start.history.json,,seed_03,3,first,2.357128438949585,2.357128438949585,0.024169855341315268,2.668266563415527,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_03/warm_start.history.json,,seed_03,3,last,0.13919935882091522,0.13919935882091522,0.030955900400877,0.2671688771247864,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_04/stage18_ppo.history.json,,seed_04,4,first,0.29594667107448913,0.006850918056443334,0.5802450878545642,0.10267951694550224,1,4,234,19.81915262694101,0.015114838402951136,0.04042968759313226,2.0463502248749137,79,1,2,19.81915262694101,0.3387889266014099,0.09404516965150833,0.33123183250427246,12.977334910303867
18,results/stage18/full_context_v2/seed_04/stage18_ppo.history.json,,seed_04,4,last,0.06189569578418741,-0.0018377915257588029,0.13399474695324898,0.3263887094799429,2000,8000,236,15.165512358574592,0.01786077739961911,0.051432291977107525,1.860274544917047,77,3,2,15.165512358574592,0.2570425868034363,0.06976964324712753,0.3319300711154938,13.573041828852059
18,results/stage18/full_context_v2/seed_04/warm_start.history.json,,seed_04,4,first,2.3733275032043455,2.3733275032043455,0.09627053052186967,2.661427183151245,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_04/warm_start.history.json,,seed_04,4,last,0.13763103067874907,0.13763103067874907,0.06393319487571716,0.26205050587654116,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_05/stage18_ppo.history.json,,seed_05,5,first,0.33367881330195814,0.0048068094765767455,0.6592612965032458,0.07586418533948258,1,4,235,14.829079103005924,0.012326821833084978,0.0283203125,1.757739080581814,75,5,2,14.829079103005924,0.25240984559059143,0.07320346683263779,0.3640814423561096,11.889109330862548
18,results/stage18/full_context_v2/seed_05/stage18_ppo.history.json,,seed_05,5,last,0.04537225874082651,-0.021370317961554974,0.14020499074831605,0.3359916510526091,2000,8000,236,15.693208252475364,0.002064812397293281,0.049479166977107525,1.2245906740427017,75,5,2,15.693208252475364,0.2659865915775299,0.0720202699303627,0.351857453584671,13.639860376061423
18,results/stage18/full_context_v2/seed_05/warm_start.history.json,,seed_05,5,first,2.297742338180542,2.297742338180542,0.13259812876582144,2.636711149215698,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_05/warm_start.history.json,,seed_05,5,last,0.1649107074737549,0.1649107074737549,0.13030819714069367,0.2881595313549042,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_06/stage18_ppo.history.json,,seed_06,6,first,0.24887601466616616,-0.005912203865591437,0.5129987851250917,0.17111742543292507,1,4,236,16.215644911808184,0.05793355751181206,0.08984374976716936,1.7089386706938967,76,4,2,16.215644911808184,0.27484142780303955,0.08270591497421265,0.37653446197509766,11.0431072923244
18,results/stage18/full_context_v2/seed_06/stage18_ppo.history.json,,seed_06,6,last,0.043521315237740055,0.0017512617632746696,0.09163578285370022,0.4047837849939242,2000,8000,234,17.82728931827463,-0.0016561571028432809,0.06875000009313226,1.038495620712638,79,1,2,17.82728931827463,0.30473998188972473,0.08237454295158386,0.35633113980293274,13.68588381869338
18,results/stage18/full_context_v2/seed_06/warm_start.history.json,,seed_06,6,first,2.389666576385498,2.389666576385498,0.07952849715948104,2.6841349697113035,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_06/warm_start.history.json,,seed_06,6,last,0.13535081446170807,0.13535081446170807,0.1263642591238022,0.2585354924201965,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_07/stage18_ppo.history.json,,seed_07,7,first,0.28199750382918864,-0.009301112288085278,0.585246866568923,0.13248166638726167,1,4,236,13.9418418694669,0.012756180367432535,0.046875000232830644,4.3577120043337345,74,6,2,13.9418418694669,0.23630239069461823,0.056830331683158875,0.3161269724369049,17.289240453208095
18,results/stage18/full_context_v2/seed_07/stage18_ppo.history.json,,seed_07,7,last,0.055012826167512685,-0.015913755865767598,0.14793033455498517,0.3038585201720707,2000,8000,236,17.006366081297614,0.007167780635427334,0.03971354174427688,1.968432977795601,77,3,2,17.006366081297614,0.28824350237846375,0.07781659066677094,0.3396623134613037,13.720648005784925
18,results/stage18/full_context_v2/seed_07/warm_start.history.json,,seed_07,7,first,2.361119480133057,2.361119480133057,0.2587230563163757,2.6782275199890138,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_07/warm_start.history.json,,seed_07,7,last,0.17222679078578948,0.17222679078578948,0.21979483872652053,0.31621211290359497,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_08/stage18_ppo.history.json,,seed_08,8,first,0.2755344257457182,-0.005650159204378724,0.565836027264595,0.1733430866170506,1,4,236,19.580828746330912,0.0666096034401562,0.09472656296566129,2.201953606447205,79,1,2,19.580828746330912,0.3318784534931183,0.10843127965927124,0.37327849864959717,9.368042235892458
18,results/stage18/full_context_v2/seed_08/stage18_ppo.history.json,,seed_08,8,last,0.044761041390302125,-0.01703359023667872,0.12981754075735807,0.31141392956487834,2000,8000,234,15.40781522946341,0.015439440518093761,0.049414062639698386,1.7701340205967426,77,3,2,15.40781522946341,0.2633814811706543,0.07114309072494507,0.3506765365600586,13.705816862642722
18,results/stage18/full_context_v2/seed_08/warm_start.history.json,,seed_08,8,first,2.3814079570770263,2.3814079570770263,0.1878497415781021,2.6820005321502687,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_08/warm_start.history.json,,seed_08,8,last,0.14535594940185548,0.14535594940185548,0.16124161422252656,0.2573521113395691,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_09/stage18_ppo.history.json,,seed_09,9,first,0.2734360260074027,-0.010154923191294074,0.579177217092365,0.5997658492997289,1,4,236,17.221182849611452,0.42587497213389724,0.1429036462213844,2.099394362187013,77,3,2,17.221182849611452,0.29188448190689087,0.09123297780752182,0.40554940700531006,10.235714934738624
18,results/stage18/full_context_v2/seed_09/stage18_ppo.history.json,,seed_09,9,last,0.06419215287314728,0.0024713381426408887,0.12840871512889862,0.24835426209392608,2000,8000,236,18.076082512347817,0.00737747725133886,0.04166666674427688,1.4947091024369001,78,2,2,18.076082512347817,0.30637431144714355,0.0823478177189827,0.3500327169895172,13.84204769469578
18,results/stage18/full_context_v2/seed_09/warm_start.history.json,,seed_09,9,first,2.3344234466552733,2.3344234466552733,0.0498430391587317,2.663380184173584,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_09/warm_start.history.json,,seed_09,9,last,0.11502299807965756,0.11502299807965756,0.06759317710995674,0.22761354744434356,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_10/stage18_ppo.history.json,,seed_10,10,first,0.19685181004024344,-0.02773232478648424,0.45430284552276134,0.2567287278646546,1,4,234,16.32310525685593,0.08750280505046248,0.07089843763969839,1.7796003292314708,75,5,2,16.32310525685593,0.27902746200561523,0.08030509948730469,0.3707338273525238,12.072789488735642
18,results/stage18/full_context_v2/seed_10/stage18_ppo.history.json,,seed_10,10,last,0.012329364501056261,-0.012407875852659345,0.05527745228027925,0.2901486181654036,2000,8000,235,19.71735393534643,0.014536050886817975,0.0361328125,1.201729916036129,80,0,2,19.71735393534643,0.33561453223228455,0.0910123959183693,0.3390474319458008,13.598173266091305
18,results/stage18/full_context_v2/seed_10/warm_start.history.json,,seed_10,10,first,2.401867790222168,2.401867790222168,0.06936281882226467,2.7003675651550294,,,,,,,,,,,,,,,
18,results/stage18/full_context_v2/seed_10/warm_start.history.json,,seed_10,10,last,0.13116234868764878,0.13116234868764878,0.051402392089366915,0.2568413722515106,,,,,,,,,,,,,,,
18,results/stage18/no_eta_cost_only/seed_01/stage18_ppo.history.json,,seed_01,1,first,0.2721521804924123,0.017690499429591,0.5269784349948168,0.9027539491653442,1,4,234,-10.918215671091877,0.007626743765285937,0.0205078125,0.9945230759913102,76,4,2,-10.918215671091877,-0.18663614988327026,-0.02780105173587799,0.2457076460123062,45.06809116827241
18,results/stage18/no_eta_cost_only/seed_01/stage18_ppo.history.json,,seed_01,1,last,0.056162601278629154,0.0034289431641809642,0.11213992885313928,0.33363070600898936,2000,8000,236,9.063607211299402,0.0014427437163249124,0.06217447924427688,1.7279783077538013,79,1,2,9.063607211299402,0.15362046658992767,0.03615111857652664,0.3073504865169525,18.057381203731367
18,results/stage18/no_eta_cost_only/seed_01/warm_start.history.json,,seed_01,1,first,2.607315731048584,2.607315731048584,0.09277550732716917,2.715535068511963,,,,,,,,,,,,,,,
18,results/stage18/no_eta_cost_only/seed_01/warm_start.history.json,,seed_01,1,last,2.285370969772339,2.285370969772339,0.09138457790017128,2.345389795303345,,,,,,,,,,,,,,,
18,results/stage18/no_eta_cost_only/seed_02/stage18_ppo.history.json,,seed_02,2,first,0.14798193145543337,-0.01200536108808592,0.33560267416760325,0.7814042149111629,1,4,233,-10.09292155800446,0.011051052380935289,0.06467013899236917,0.6109442794695497,78,2,2,-10.09292155800446,-0.17326904833316803,-0.016391733661293983,0.15086466073989868,111.73578047442908
18,results/stage18/no_eta_cost_only/seed_02/stage18_ppo.history.json,,seed_02,2,last,0.07692370461882092,-0.019785779295489192,0.20286019588820636,0.4720613337121904,2000,8000,234,6.776551928684302,0.007765419359202497,0.09062500018626451,1.6560954321175814,76,4,2,6.776551928684302,0.11583850532770157,0.02950051799416542,0.3243890404701233,15.418656091222683
18,results/stage18/no_eta_cost_only/seed_02/warm_start.history.json,,seed_02,2,first,2.605934906005859,2.605934906005859,0.09745363429188729,2.709195137023926,,,,,,,,,,,,,,,
18,results/stage18/no_eta_cost_only/seed_02/warm_start.history.json,,seed_02,2,last,2.2546878242492676,2.2546878242492676,0.1260140872001648,2.3180234909057615,,,,,,,,,,,,,,,
18,results/stage18/no_eta_cost_only/seed_03/stage18_ppo.history.json,,seed_03,3,first,0.1606655250361655,-0.012323259434197098,0.36029348988085985,0.7157960580661893,1,4,236,4.844151958096303,0.004431864726939239,0.0078125,0.7558072351384908,75,5,2,4.844151958096303,0.08210426568984985,0.01633717119693756,0.27485963702201843,25.25676909489774
18,results/stage18/no_eta_cost_only/seed_03/stage18_ppo.history.json,,seed_03,3,last,0.051352967449929565,-0.022204911831067875,0.15309361170511693,0.2988926307298243,2000,8000,235,8.138872523963899,0.01531349855940789,0.08957741502672434,1.4493673965334892,76,4,2,8.138872523963899,0.13853399455547333,0.035376641899347305,0.3282627463340759,15.334850204843406
18,results/stage18/no_eta_cost_only/seed_03/warm_start.history.json,,seed_03,3,first,2.5857176399230957,2.5857176399230957,0.018393325507640838,2.69012939453125,,,,,,,,,,,,,,,
18,results/stage18/no_eta_cost_only/seed_03/warm_start.history.json,,seed_03,3,last,2.252552433013916,2.252552433013916,0.03385603033006191,2.26367262840271,,,,,,,,,,,,,,,
